index,index,time,tem
1272,1272,7000.523647,88.5625
1273,1273,7005.242495,88.625
1274,1274,7009.962798,88.625
1275,1275,7014.75934,88.6875
1276,1276,7019.479408,88.75
1277,1277,7025.331975,88.75
1278,1278,7030.173381,88.8125
1279,1279,7034.920615,88.875
1280,1280,7039.720434,88.875
1281,1281,7044.680363,88.9375
1282,1282,7049.559945,88.9375
1283,1283,7054.359697,89.0
1284,1284,7059.159875,89.0
1285,1285,7063.879985,89.0625
1286,1286,7068.599945,89.0625
1287,1287,7073.480965,89.125
1288,1288,7078.283006,89.1875
1289,1289,7083.082316,89.1875
1290,1290,7087.881965,89.25
1291,1291,7092.680059,89.3125
1292,1292,7097.479831,89.3125
1293,1293,7102.199899,89.3125
1294,1294,7107.080842,89.3125
1295,1295,7111.800868,89.375
1296,1296,7116.526,89.375
1297,1297,7121.321581,89.4375
1298,1298,7126.052747,89.4375
1299,1299,7131.513817,89.5
1300,1300,7136.319627,89.5625
1301,1301,7141.081545,89.5625
1302,1302,7145.801569,89.625
1303,1303,7150.44093,89.625
1304,1304,7155.239378,89.6875
1305,1305,7159.959251,89.75
1306,1306,7164.699896,89.75
1307,1307,7169.480455,89.8125
1308,1308,7174.279847,89.8125
1309,1309,7179.079871,89.875
1310,1310,7183.879954,89.875
1311,1311,7188.679292,89.9375
1312,1312,7193.319346,89.9375
1313,1313,7197.958775,90.0
1314,1314,7202.599282,90.0
1315,1315,7207.241309,90.0625
1316,1316,7212.0414,90.0625
1317,1317,7216.841338,90.125
1318,1318,7221.721531,90.1875
1319,1319,7226.737943,90.1875
1320,1320,7231.481405,90.25
1321,1321,7236.201361,90.25
1322,1322,7241.001535,90.3125
1323,1323,7245.721575,90.3125
1324,1324,7250.521151,90.375
1325,1325,7255.240091,90.375
1326,1326,7260.039972,90.375
1327,1327,7264.839988,90.4375
1328,1328,7270.521518,90.4375
1329,1329,7275.321826,90.5
1330,1330,7280.12196,90.5
1331,1331,7284.919364,90.5625
1332,1332,7289.640292,90.5625
1333,1333,7294.459603,90.625
1334,1334,7299.159563,90.6875
1335,1335,7303.959812,90.6875
1336,1336,7308.759329,90.6875
1337,1337,7313.47978,90.75
1338,1338,7318.310082,90.8125
1339,1339,7323.678783,90.8125
1340,1340,7328.474265,90.8125
1341,1341,7333.446848,90.875
1342,1342,7338.199973,90.875
1343,1343,7343.000569,90.9375
1344,1344,7347.800012,90.9375
1345,1345,7352.619399,91.0
1346,1346,7357.399906,91.0
1347,1347,7362.221869,91.0625
1348,1348,7367.001427,91.0625
1349,1349,7371.801145,91.125
1350,1350,7376.60267,91.1875
1351,1351,7381.322099,91.1875
1352,1352,7386.202117,91.1875
1353,1353,7391.003081,91.1875
1354,1354,7395.723352,91.1875
1355,1355,7400.519774,91.25
1356,1356,7405.320371,91.3125
